rank,state,population_2024,area_km2,literacy_rate,region,type,pop_density,pop_crore,pop_share_pct
1,Uttar Pradesh,230000000,240928.0,67.7,North,State,954.64,23.0,16.41
2,Maharashtra,130000000,307713.0,82.9,West,State,422.47,13.0,9.28
3,Bihar,124000000,94163.0,61.8,East,State,1316.87,12.4,8.85
4,West Bengal,100000000,88752.0,76.3,East,State,1126.74,10.0,7.14
5,Madhya Pradesh,90000000,308252.0,69.3,Central,State,291.97,9.0,6.42
6,Rajasthan,85000000,342239.0,66.1,North,State,248.36,8.5,6.07
7,Tamil Nadu,82000000,130058.0,80.1,South,State,630.49,8.2,5.85
8,Karnataka,70000000,191791.0,75.6,South,State,364.98,7.0,5.0
9,Gujarat,70000000,196024.0,78.0,West,State,357.1,7.0,5.0
10,Andhra Pradesh,54000000,162975.0,67.4,South,State,331.34,5.4,3.85
11,Odisha,47000000,155707.0,72.9,East,State,301.85,4.7,3.35
12,Telangana,40000000,112077.0,66.5,South,State,356.9,4.0,2.85
13,Jharkhand,40000000,79716.0,66.4,East,State,501.78,4.0,2.85
14,Kerala,36000000,38852.0,94.0,South,State,926.59,3.6,2.57
15,Assam,36000000,78438.0,72.2,East,State,458.96,3.6,2.57
16,Chhattisgarh,32000000,135192.0,70.3,Central,State,236.7,3.2,2.28
17,Punjab,31000000,50362.0,75.8,North,State,615.54,3.1,2.21
18,Haryana,30000000,44212.0,75.6,North,State,678.55,3.0,2.14
19,Delhi,21000000,1484.0,86.2,North,UT,14150.94,2.1,1.5
20,Jammu & Kashmir,14000000,42241.0,67.2,North,UT,331.43,1.4,1.0
21,Uttarakhand,12000000,53483.0,78.8,North,State,224.37,1.2,0.86
22,Himachal Pradesh,8000000,55673.0,82.8,North,State,143.7,0.8,0.57
23,Tripura,4500000,10486.0,87.2,East,State,429.14,0.45,0.32
24,Meghalaya,3800000,22429.0,74.4,Northeast,State,169.42,0.38,0.27
25,Manipur,3400000,22327.0,76.9,Northeast,State,152.28,0.34,0.24
26,Nagaland,2200000,16579.0,79.6,Northeast,State,132.7,0.22,0.16
27,Arunachal Pradesh,1700000,83743.0,65.4,Northeast,State,20.3,0.17,0.12
28,Goa,1700000,3702.0,87.4,West,State,459.21,0.17,0.12
29,Mizoram,1300000,21081.0,91.3,Northeast,State,61.67,0.13,0.09
30,Sikkim,700000,7096.0,81.4,Northeast,State,98.65,0.07,0.05
